Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Grantville Transfer Station & Landfill ,Bass Coast Shire Council,Landfill,Landfill putrescible,1685 Bass Highway,Grantville,Bass Coast,-38.420836,145.5196345
Benalla Landfill ,Benalla Rural City Council,Landfill,Landfill putrescible,90 Old Farnley Road,Benalla,Benalla,-36.511418,145.998539
Gippsland Water,Central Gippsland Regional Water,Landfill,Landfill putrescible,1954 Longford-Loch Sport Road,Dutson,Wellington,-38.19605162,147.292318
Smythesdale Landfill,Ballarat City Council,Landfill,Landfill putrescible,Glenelg Highway,Smythesdale,Golden Plains,-37.6255435,143.7012185
Corangamite Regional Landfill (landfill),Corangamite Shire Council,Landfill,Landfill putrescible,605 County Boundary Road,Naroghid,Corangamite,-38.27278,143.04848
Bairnsdale Landfill,East Gippsland Shire Council,Landfill,Landfill putrescible,200 Johnstons Road,Forge Creek,East Gippsland,-37.880001,147.6262
Denyers Pit,Gannawarra Shire Council,Landfill,Landfill putrescible,55 Denyer Road,Kerang,Gannawarra,-35.7625785,143.77815
Fyansford Waste Waste Management Facility (Landfill),Sycle,Landfill,Landfill inert,Lower Paper Mills Road,Fyansford,Greater Geelong,-38.14431,144.30219
Glen Landfill,Glen Landfill Pty Ltd,Landfill,Landfill inert,75 Quarry Road,Langwarrin,Frankston,-38.140849,145.1991845
Cosgrove Landfill,Greater Shepparton City Council,Landfill,Landfill putrescible,200 Cosgrove-Lemnos Road,Cosgrove,Greater Shepparton,-36.3474025,145.599398
Devil Bend Landfill,Grosvenor Lodge Pty Ltd,Landfill,Landfill inert,435 Balnarring Road,Tuerong,Mornington Peninsula,-38.295004,145.0769435
Wollert Landfill (Landfill),Heidelberg Materials Australia Resource Recovery Pty Ltd,Landfill,Landfill putrescible,55 Bridge Inn Road,Wollert,Whittlesea,-37.5941365,145.038485
Hi-Quality Landfill,Hi-Quality Group,Landfill,Landfill inert,570-650 Sunbury Road,Bulla,Hume,-37.60627051,144.7840747
Dooen Landfill,Horsham Rural City Council,Landfill,Landfill putrescible,81 Ladlows Road,Dooen,Horsham,-36.60708435,142.2563251
Cleanaway Ravenhall Melbourne Regional Landfill,Cleanaway Pty Ltd,Landfill,Landfill putrescible,1100-1152 Christies Road,Ravenhall,Melton,-37.791581,144.73026
Hyland Landfill,Latrobe City Council,Landfill,Landfill putrescible,Hyland Highway,Loy Yang,Latrobe,-38.25121269,146.5587835
Maddingley Brown Coal Landfill,Calleja Group,Landfill,Landfill putrescible,11 Tilleys Road,Maddingley,Moorabool,-37.69944971,144.4461394
Mildura Landfill,Mildura Rural City Council,Landfill,Landfill putrescible,15 Scherger Drive,Mildura,Mildura,-34.1850615,142.1422685
Mitchell Landfill,Mitchell Shire Council,Landfill,Landfill putrescible,470 Seymour-Tooborac Road,Hilldene,Mitchell,-37.029435,145.08141
Cobram Landfill,Moira Shire Council,Landfill,Landfill putrescible,56 Pye Road,Cobram,Moira,-35.9553275,145.696043
Rye Landfill & Resource Recovery Centre (landfill),Mornington Peninsula Shire Council,Landfill,Landfill putrescible,280 Truemans Road,Fingal,Mornington Peninsula,-38.401757,144.860689
Alexandra landfill,Murrindindi Shire Council,Landfill,Landfill putrescible,124 Mount Pleasant Road,Alexandra,Murrindindi,-37.21248924,145.7246176
SBI Inert Landfill,SBI Group,Landfill,Landfill inert,950 Ballarto Road,Cranbourne,Casey,-38.125963,145.262557
Koonwarra Landfill,South Gippsland Shire Council,Landfill,Landfill putrescible,275 Koonwarra-Inverloch Road,Koonwarra,South Gippsland,-38.5583285,145.9222205
Stawell Landfill,Cleanaway Pty Ltd,Landfill,Landfill putrescible,492-494 Pomonal Rd,Stawell,Northern Grampians,-37.10016747,142.7342053
Hallam Road Landfill,Veolia Environmental Services Pty Ltd,Landfill,Landfill putrescible,274 Hallam Road,Hampton Park,Casey,-38.05392746,145.2673205
Veolia Taylors Road Landfill,Veolia Environmental Services Pty Ltd,Landfill,Hazardous waste landfill facility,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086
Anglesea Landfill,Surf Coast Shire Council,Landfill,Landfill putrescible,50 Coalmine Road,Anglesea,Surf Coast,-38.38506,144.19862
Swan Hill Rural City Council (landfill),Swan Hill Rural City Council,Landfill,Landfill putrescible,6859 Swan Hill-Sea Lake Road ,Swan Hill,Swan Hill,-35.349929,143.509847
Drysdale Landfill,Greater Geelong City Council,Landfill,Landfill putrescible,82-180 Becks Road,Drysdale,Greater Geelong,-38.16925,144.62752
Patho Landfill,Veolia Environmental Services Pty Ltd,Landfill,Landfill putrescible,Patho Station Road,Patho,Campaspe,-36.0375645,144.438963
Bowser Landfill,Wangaratta Rural City Council,Landfill,Landfill putrescible,5 Coleman Road,Bowser,Wangaratta,-36.3181915,146.3671645
Kilmany Landfill,Wellington Shire Council,Landfill,Landfill putrescible,Velore Road,Kilmany,Wellington,-38.102931,146.9274395
Werribee Landfill,Wyndham City Council,Landfill,Landfill putrescible,470 Wests Road,Werribee,Wyndham,-37.940938,144.5905665
"Australian Paper Recovery (Truganina, MRF)",APR,MRF,Materials recovery facility,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072
"Australian Paper Recovery (Truganina, Paper recycling)",APR,Reprocessor,Paper & cardboard recovery,9 Felstead Drive,Truganina,Wyndham,-37.822761,144.761072
Cleanaway (Coolaroo MRF),Cleanaway Pty Ltd,MRF,Materials recovery facility,94 Maffra Street,Coolaroo,Hume,-37.657821,144.940081
"Cleanaway (Laverton, MRF)",Cleanaway Pty Ltd,MRF,Materials recovery facility,32 Gilbertson Road,Laverton North,Wyndham,-37.821854,144.795121
Dasma MRF,The Dasma Group,MRF,Materials recovery facility,75 Tramway Road,Morwell,Latrobe,-38.239457,146.438138
"Re-Group (Dandenong, MRF)",Re-Group Pty Ltd,MRF,Materials recovery facility,126-134 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.021922,145.19362
Tambo Waste (Lakes Entrance),Tambo Waste,Resource Recovery Centre,Transfer station,58 Whiters Street,Lakes Entrance,East Gippsland,-37.87104134,148.001551
Echuca MRF,Veolia Environmental Services Pty Ltd,MRF,Materials recovery facility,11 Reliance Court,Echuca,Campaspe,-36.148171,144.761935
Visy Recycling MRF (Heidelberg),Visy,MRF,Materials recovery facility,Corner Waterdale Road and Banksia Street,Heidelberg ,Banyule,-37.756448,145.04335
Visy Recycling MRF (Springvale),Visy,MRF,Materials recovery facility,708 Princes Highway,Springvale ,Greater Dandenong,-37.944038,145.171484
Robertson's Farmgate  (AD & HM Robertson Pty Ltd),AD & HM Robertson Pty Ltd,Reprocessor,Organics recycling,800 Blackgate Road,Mount Duneed,Surf Coast,-38.284467,144.3122465
Australian Growing Solutions Tyabb,AGS,Reprocessor,Organics recycling,15-21 Mckirdys Road,Tyabb,Mornington Peninsula,-38.2600379,145.215159
AKD Softwoods ,Associated Kiln Driers Pty Ltd,Reprocessor,Thermal energy from waste,7-15 Forest Street,Colac,Colac Otway,-38.3374839,143.6050628
Alberton Timber ,Alberton Timber & Treatment Plant Pty Ltd,Reprocessor,Thermal energy from waste,S Gippsland Hwy,Alberton,Wellington,-38.6107258,146.6633253
Alpine MDF ,Alpine MDF Industries Pty Ltd,Reprocessor,Thermal energy from waste,Lot 1 Crosher Lane,North Wangaratta ,Wangaratta,-36.33556952,146.3733945
Argus Recycling,Argus Recycling,Reprocessor,Organics recycling,60-62 Ordish Road,Dandenong,Greater Dandenong,-38.0218412,145.1925814
